Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Date_T,State_T,TotalSamples,Negative,Positive
1,1/30/2020,6:00 PM,Kerala,1,0,0,0,1,4/17/2020,Andaman and Nicobar Islands,1403,1210,12
2,1/31/2020,6:00 PM,Kerala,1,0,0,0,1,4/24/2020,Andaman and Nicobar Islands,2679,0,27
3,2/1/2020,6:00 PM,Kerala,2,0,0,0,2,4/27/2020,Andaman and Nicobar Islands,2848,0,33
4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3,5/1/2020,Andaman and Nicobar Islands,3754,0,33
5,2/3/2020,6:00 PM,Kerala,3,0,0,0,3,5/16/2020,Andaman and Nicobar Islands,6677,0,33
6,2/4/2020,6:00 PM,Kerala,3,0,0,0,3,5/19/2020,Andaman and Nicobar Islands,6965,0,33
7,2/5/2020,6:00 PM,Kerala,3,0,0,0,3,5/20/2020,Andaman and Nicobar Islands,7082,0,33
8,2/6/2020,6:00 PM,Kerala,3,0,0,0,3,5/21/2020,Andaman and Nicobar Islands,7167,0,33
9,2/7/2020,6:00 PM,Kerala,3,0,0,0,3,5/22/2020,Andaman and Nicobar Islands,7263,0,33
10,2/8/2020,6:00 PM,Kerala,3,0,0,0,3,5/23/2020,Andaman and Nicobar Islands,7327,0,33
11,2/9/2020,6:00 PM,Kerala,3,0,0,0,3,5/24/2020,Andaman and Nicobar Islands,7327,0,33
12,2/10/2020,6:00 PM,Kerala,3,0,0,0,3,5/25/2020,Andaman and Nicobar Islands,7363,0,33
13,2/11/2020,6:00 PM,Kerala,3,0,0,0,3,5/26/2020,Andaman and Nicobar Islands,7448,0,33
14,2/12/2020,6:00 PM,Kerala,3,0,0,0,3,5/27/2020,Andaman and Nicobar Islands,7499,0,33
15,2/13/2020,6:00 PM,Kerala,3,0,0,0,3,5/28/2020,Andaman and Nicobar Islands,7519,0,33
16,2/14/2020,6:00 PM,Kerala,3,0,0,0,3,5/29/2020,Andaman and Nicobar Islands,7567,0,33
17,2/15/2020,6:00 PM,Kerala,3,0,0,0,3,5/30/2020,Andaman and Nicobar Islands,7567,0,33
18,2/16/2020,6:00 PM,Kerala,3,0,0,0,3,5/31/2020,Andaman and Nicobar Islands,7706,0,33
19,2/17/2020,6:00 PM,Kerala,3,0,0,0,3,6/1/2020,Andaman and Nicobar Islands,7805,0,33
20,2/18/2020,6:00 PM,Kerala,3,0,0,0,3,6/2/2020,Andaman and Nicobar Islands,8086,0,33
21,2/19/2020,6:00 PM,Kerala,3,0,0,0,3,6/3/2020,Andaman and Nicobar Islands,8295,0,33
22,2/20/2020,6:00 PM,Kerala,3,0,0,0,3,6/4/2020,Andaman and Nicobar Islands,8413,0,33
23,2/21/2020,6:00 PM,Kerala,3,0,0,0,3,6/5/2020,Andaman and Nicobar Islands,8694,0,33
24,2/22/2020,6:00 PM,Kerala,3,0,0,0,3,6/6/2020,Andaman and Nicobar Islands,9037,0,33
25,2/23/2020,6:00 PM,Kerala,3,0,0,0,3,6/7/2020,Andaman and Nicobar Islands,9242,0,33
26,2/24/2020,6:00 PM,Kerala,3,0,0,0,3,6/8/2020,Andaman and Nicobar Islands,9341,0,33
27,2/25/2020,6:00 PM,Kerala,3,0,0,0,3,6/9/2020,Andaman and Nicobar Islands,9859,0,33
28,2/26/2020,6:00 PM,Kerala,3,0,0,0,3,6/10/2020,Andaman and Nicobar Islands,10010,0,35
29,2/27/2020,6:00 PM,Kerala,3,0,0,0,3,6/11/2020,Andaman and Nicobar Islands,10226,0,38
30,2/28/2020,6:00 PM,Kerala,3,0,0,0,3,6/12/2020,Andaman and Nicobar Islands,10697,0,38
31,2/29/2020,6:00 PM,Kerala,3,0,0,0,3,6/13/2020,Andaman and Nicobar Islands,10955,0,38
32,3/1/2020,6:00 PM,Kerala,3,0,0,0,3,6/14/2020,Andaman and Nicobar Islands,11356,0,38
33,3/2/2020,6:00 PM,Telengana,1,0,0,0,1,6/15/2020,Andaman and Nicobar Islands,11518,0,41
34,3/2/2020,6:00 PM,Kerala,3,0,0,0,3,6/16/2020,Andaman and Nicobar Islands,11809,0,44
35,3/2/2020,6:00 PM,Delhi,1,0,0,0,1,6/17/2020,Andaman and Nicobar Islands,12239,0,44
36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1,6/18/2020,Andaman and Nicobar Islands,12622,0,45
37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1,6/19/2020,Andaman and Nicobar Islands,12930,0,47
38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3,6/20/2020,Andaman and Nicobar Islands,13320,0,47
39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1,6/21/2020,Andaman and Nicobar Islands,13434,0,48
40,3/4/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,6/22/2020,Andaman and Nicobar Islands,13511,0,48
41,3/4/2020,6:00 PM,Kerala,3,0,3,0,3,6/23/2020,Andaman and Nicobar Islands,13723,0,50
42,3/4/2020,6:00 PM,Haryana,0,2,0,0,2,6/24/2020,Andaman and Nicobar Islands,13994,0,56
43,3/4/2020,6:00 PM,Delhi,1,0,0,0,1,6/25/2020,Andaman and Nicobar Islands,14277,0,59
44,3/4/2020,6:00 PM,Telengana,1,0,0,0,1,6/26/2020,Andaman and Nicobar Islands,14583,0,72
45,3/4/2020,6:00 PM,Rajasthan,1,14,0,0,15,6/27/2020,Andaman and Nicobar Islands,14851,0,73
46,3/5/2020,6:00 PM,Delhi,2,0,0,0,2,6/28/2020,Andaman and Nicobar Islands,15094,0,83
47,3/5/2020,6:00 PM,Haryana,0,2,0,0,2,6/29/2020,Andaman and Nicobar Islands,15410,0,90
48,3/5/2020,6:00 PM,Kerala,3,0,3,0,3,6/30/2020,Andaman and Nicobar Islands,15709,0,97
49,3/5/2020,6:00 PM,Rajasthan,1,14,0,0,15,7/1/2020,Andaman and Nicobar Islands,15982,0,100
50,3/5/2020,6:00 PM,Telengana,1,0,0,0,1,7/2/2020,Andaman and Nicobar Islands,16278,0,109
51,3/5/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,7/3/2020,Andaman and Nicobar Islands,16626,0,116
52,3/6/2020,6:00 PM,Delhi,3,0,0,0,3,7/4/2020,Andaman and Nicobar Islands,16832,0,119
53,3/6/2020,6:00 PM,Haryana,0,2,0,0,2,7/5/2020,Andaman and Nicobar Islands,16909,0,125
54,3/6/2020,6:00 PM,Kerala,3,0,3,0,3,7/6/2020,Andaman and Nicobar Islands,17095,0,141
55,3/6/2020,6:00 PM,Rajasthan,1,14,0,0,15,7/7/2020,Andaman and Nicobar Islands,17381,0,147
56,3/6/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,7/8/2020,Andaman and Nicobar Islands,17643,0,149
57,3/6/2020,6:00 PM,Telengana,1,0,0,0,1,7/9/2020,Andaman and Nicobar Islands,17852,0,151
58,3/7/2020,6:00 PM,Kerala,3,0,3,0,3,7/10/2020,Andaman and Nicobar Islands,18046,0,156
59,3/7/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,7/11/2020,Andaman and Nicobar Islands,18315,0,163
60,3/7/2020,6:00 PM,Ladakh,2,0,0,0,2,7/12/2020,Andaman and Nicobar Islands,18447,0,163
61,3/7/2020,6:00 PM,Telengana,1,0,0,0,1,7/13/2020,Andaman and Nicobar Islands,18609,0,166
62,3/7/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,7/14/2020,Andaman and Nicobar Islands,18884,0,171
63,3/7/2020,6:00 PM,Delhi,3,0,0,0,3,7/15/2020,Andaman and Nicobar Islands,19061,0,176
64,3/7/2020,6:00 PM,Haryana,0,2,0,0,2,7/16/2020,Andaman and Nicobar Islands,19227,0,180
65,3/7/2020,6:00 PM,Rajasthan,1,14,0,0,15,7/17/2020,Andaman and Nicobar Islands,19421,0,194
66,3/8/2020,6:00 PM,Ladakh,2,0,0,0,2,7/18/2020,Andaman and Nicobar Islands,19671,0,198
67,3/8/2020,6:00 PM,Telengana,1,0,0,0,1,7/19/2020,Andaman and Nicobar Islands,19904,0,203
68,3/8/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,7/20/2020,Andaman and Nicobar Islands,20301,0,207
69,3/8/2020,6:00 PM,Rajasthan,1,14,0,0,15,7/21/2020,Andaman and Nicobar Islands,20642,0,212
70,3/8/2020,6:00 PM,Kerala,8,0,3,0,8,7/22/2020,Andaman and Nicobar Islands,21043,0,221
71,3/8/2020,6:00 PM,Haryana,0,2,0,0,2,7/23/2020,Andaman and Nicobar Islands,21310,0,240
72,3/8/2020,6:00 PM,Delhi,3,0,0,0,3,7/24/2020,Andaman and Nicobar Islands,21743,0,259
73,3/8/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,7/25/2020,Andaman and Nicobar Islands,21965,0,290
74,3/9/2020,6:00 PM,Ladakh,2,0,0,0,2,7/26/2020,Andaman and Nicobar Islands,22049,0,324
75,3/9/2020,6:00 PM,Karnataka,1,0,0,0,1,7/27/2020,Andaman and Nicobar Islands,22548,0,338
76,3/9/2020,6:00 PM,Kerala,9,0,3,0,9,7/28/2020,Andaman and Nicobar Islands,22925,0,363
77,3/9/2020,6:00 PM,Maharashtra,2,0,0,0,2,7/29/2020,Andaman and Nicobar Islands,23217,0,428
78,3/9/2020,6:00 PM,Punjab,1,0,0,0,1,7/30/2020,Andaman and Nicobar Islands,23615,0,471
79,3/9/2020,6:00 PM,Rajasthan,1,14,0,0,15,7/31/2020,Andaman and Nicobar Islands,24038,0,548
80,3/9/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,8/1/2020,Andaman and Nicobar Islands,24308,0,636
81,3/9/2020,6:00 PM,Telengana,1,0,0,0,1,8/2/2020,Andaman and Nicobar Islands,24580,0,734
82,3/9/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,8/3/2020,Andaman and Nicobar Islands,25034,0,830
83,3/9/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,8/4/2020,Andaman and Nicobar Islands,25492,0,928
84,3/9/2020,6:00 PM,Haryana,0,2,0,0,2,8/5/2020,Andaman and Nicobar Islands,25826,0,1027
85,3/9/2020,6:00 PM,Delhi,4,0,0,0,4,8/6/2020,Andaman and Nicobar Islands,26516,0,1123
86,3/10/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,8/7/2020,Andaman and Nicobar Islands,26915,0,1222
87,3/10/2020,6:00 PM,Ladakh,2,0,0,0,2,8/8/2020,Andaman and Nicobar Islands,27073,0,1351
88,3/10/2020,6:00 PM,Delhi,4,0,0,0,4,8/9/2020,Andaman and Nicobar Islands,27103,0,1490
89,3/10/2020,6:00 PM,Haryana,0,2,0,0,2,8/10/2020,Andaman and Nicobar Islands,27346,0,1625
90,3/10/2020,6:00 PM,Karnataka,4,0,0,0,4,8/11/2020,Andaman and Nicobar Islands,27455,0,1764
91,3/10/2020,6:00 PM,Kerala,15,0,3,0,15,8/12/2020,Andaman and Nicobar Islands,27744,0,1900
92,3/10/2020,6:00 PM,Maharashtra,5,0,0,0,5,8/13/2020,Andaman and Nicobar Islands,27973,0,2037
93,3/10/2020,6:00 PM,Punjab,1,0,0,0,1,8/14/2020,Andaman and Nicobar Islands,28129,0,2186
94,3/10/2020,6:00 PM,Rajasthan,1,14,0,0,15,8/15/2020,Andaman and Nicobar Islands,28209,0,2306
95,3/10/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,8/16/2020,Andaman and Nicobar Islands,28229,0,2399
96,3/10/2020,6:00 PM,Telengana,1,0,0,0,1,8/17/2020,Andaman and Nicobar Islands,28672,0,2445
97,3/10/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,8/18/2020,Andaman and Nicobar Islands,28937,0,2529
98,3/11/2020,6:00 PM,Maharashtra,2,0,0,0,2,8/19/2020,Andaman and Nicobar Islands,29303,0,2604
99,3/11/2020,6:00 PM,Delhi,5,0,0,0,5,8/20/2020,Andaman and Nicobar Islands,29487,0,2680
100,3/11/2020,6:00 PM,Haryana,0,14,0,0,14,8/21/2020,Andaman and Nicobar Islands,29573,0,2747
101,3/11/2020,6:00 PM,Kerala,17,0,3,0,17,8/22/2020,Andaman and Nicobar Islands,29888,0,2808
102,3/11/2020,6:00 PM,Rajasthan,1,2,0,0,3,8/23/2020,Andaman and Nicobar Islands,30278,0,2860
103,3/11/2020,6:00 PM,Telengana,1,0,0,0,1,8/24/2020,Andaman and Nicobar Islands,30513,0,2904
104,3/11/2020,6:00 PM,Uttar Pradesh,9,0,0,0,9,8/25/2020,Andaman and Nicobar Islands,31082,0,2945
105,3/11/2020,6:00 PM,Ladakh,2,0,0,0,2,8/26/2020,Andaman and Nicobar Islands,31646,0,2985
106,3/11/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,8/27/2020,Andaman and Nicobar Islands,31830,0,3018
107,3/11/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,8/28/2020,Andaman and Nicobar Islands,32100,0,3050
108,3/11/2020,6:00 PM,Punjab,1,0,0,0,1,8/29/2020,Andaman and Nicobar Islands,32407,0,3081
109,3/11/2020,6:00 PM,Karnataka,4,0,0,0,4,8/30/2020,Andaman and Nicobar Islands,32674,0,3104
110,3/12/2020,6:00 PM,Delhi,6,0,0,0,6,8/31/2020,Andaman and Nicobar Islands,33485,0,3132
111,3/12/2020,6:00 PM,Haryana,0,14,0,0,14,9/1/2020,Andaman and Nicobar Islands,35104,0,3160
112,3/12/2020,6:00 PM,Kerala,17,0,3,0,17,9/2/2020,Andaman and Nicobar Islands,36136,0,
113,3/12/2020,6:00 PM,Rajasthan,1,2,0,0,3,9/3/2020,Andaman and Nicobar Islands,37075,0,3223
114,3/12/2020,6:00 PM,Telengana,1,0,0,0,1,9/4/2020,Andaman and Nicobar Islands,37825,0,3257
115,3/12/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,9/5/2020,Andaman and Nicobar Islands,38574,0,3292
116,3/12/2020,6:00 PM,Ladakh,3,0,0,0,3,9/6/2020,Andaman and Nicobar Islands,39205,0,3332
117,3/12/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,9/7/2020,Andaman and Nicobar Islands,39995,0,3359
118,3/12/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,9/8/2020,Andaman and Nicobar Islands,41039,0,3392
119,3/12/2020,6:00 PM,Punjab,1,0,0,0,1,9/9/2020,Andaman and Nicobar Islands,41776,0,3426
120,3/12/2020,6:00 PM,Karnataka,4,0,0,0,4,9/10/2020,Andaman and Nicobar Islands,42792,0,3465
121,3/12/2020,6:00 PM,Maharashtra,11,0,0,0,11,9/11/2020,Andaman and Nicobar Islands,43680,0,3494
122,3/12/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,9/12/2020,Andaman and Nicobar Islands,44570,0,3521
123,3/13/2020,6:00 PM,Delhi,6,0,0,0,6,9/13/2020,Andaman and Nicobar Islands,45279,0,3546
124,3/13/2020,6:00 PM,Haryana,0,14,0,0,14,9/14/2020,Andaman and Nicobar Islands,45987,0,3557
125,3/13/2020,6:00 PM,Kerala,19,0,3,0,19,9/15/2020,Andaman and Nicobar Islands,46823,0,3574
126,3/13/2020,6:00 PM,Rajasthan,1,2,0,0,3,9/16/2020,Andaman and Nicobar Islands,47794,0,3593
127,3/13/2020,6:00 PM,Telengana,1,0,0,0,1,9/17/2020,Andaman and Nicobar Islands,48861,0,3604
128,3/13/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,9/18/2020,Andaman and Nicobar Islands,50035,0,3631
129,3/13/2020,6:00 PM,Ladakh,3,0,0,0,3,9/19/2020,Andaman and Nicobar Islands,50681,0,3644
130,3/13/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,9/20/2020,Andaman and Nicobar Islands,51262,0,3651
131,3/13/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,9/21/2020,Andaman and Nicobar Islands,52220,0,3673
132,3/13/2020,6:00 PM,Punjab,1,0,0,0,1,9/22/2020,Andaman and Nicobar Islands,52845,0,3691
133,3/13/2020,6:00 PM,Karnataka,6,0,0,1,6,9/23/2020,Andaman and Nicobar Islands,53591,0,3712
134,3/13/2020,6:00 PM,Maharashtra,14,0,0,0,14,9/24/2020,Andaman and Nicobar Islands,52992,0,3744
135,3/13/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,9/25/2020,Andaman and Nicobar Islands,55169,0,3759
136,3/14/2020,6:00 PM,Delhi,7,0,1,1,7,9/26/2020,Andaman and Nicobar Islands,56059,0,3774
137,3/14/2020,6:00 PM,Haryana,0,14,0,0,14,9/27/2020,Andaman and Nicobar Islands,56661,0,3794
138,3/14/2020,6:00 PM,Kerala,19,0,3,0,19,9/28/2020,Andaman and Nicobar Islands,57343,0,3803
139,3/14/2020,6:00 PM,Rajasthan,1,2,1,0,3,9/29/2020,Andaman and Nicobar Islands,58135,0,3821
140,3/14/2020,6:00 PM,Telengana,1,0,0,0,1,9/30/2020,Andaman and Nicobar Islands,58763,0,3835
141,3/14/2020,6:00 PM,Uttar Pradesh,11,1,5,0,12,10/1/2020,Andaman and Nicobar Islands,59676,0,3848
142,3/14/2020,6:00 PM,Ladakh,3,0,0,0,3,10/2/2020,Andaman and Nicobar Islands,60437,0,3858
143,3/14/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,10/3/2020,Andaman and Nicobar Islands,61231,0,3868
144,3/14/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,10/4/2020,Andaman and Nicobar Islands,62103,0,3884
145,3/14/2020,6:00 PM,Punjab,1,0,0,0,1,10/5/2020,Andaman and Nicobar Islands,63009,0,3899
146,3/14/2020,6:00 PM,Karnataka,6,0,0,1,6,10/6/2020,Andaman and Nicobar Islands,63790,0,3912
147,3/14/2020,6:00 PM,Maharashtra,14,0,0,0,14,10/7/2020,Andaman and Nicobar Islands,65111,0,3935
148,3/14/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,10/8/2020,Andaman and Nicobar Islands,66244,0,3952
149,3/15/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,10/9/2020,Andaman and Nicobar Islands,67332,0,3976
150,3/15/2020,6:00 PM,Delhi,7,0,2,1,7,10/10/2020,Andaman and Nicobar Islands,68464,0,3992
151,3/15/2020,6:00 PM,Haryana,0,14,0,0,14,10/11/2020,Andaman and Nicobar Islands,69146,0,4005
152,3/15/2020,6:00 PM,Karnataka,6,0,0,1,6,10/12/2020,Andaman and Nicobar Islands,69932,0,4023
153,3/15/2020,6:00 PM,Kerala,22,0,3,0,22,10/13/2020,Andaman and Nicobar Islands,70780,0,4036
154,3/15/2020,6:00 PM,Maharashtra,32,0,0,0,32,10/14/2020,Andaman and Nicobar Islands,71624,0,4046
155,3/15/2020,6:00 PM,Punjab,1,0,0,0,1,10/15/2020,Andaman and Nicobar Islands,72525,0,4062
156,3/15/2020,6:00 PM,Rajasthan,2,2,3,0,4,10/16/2020,Andaman and Nicobar Islands,73363,0,4072
157,3/15/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,10/17/2020,Andaman and Nicobar Islands,74277,0,4083
158,3/15/2020,6:00 PM,Telengana,3,0,1,0,3,10/18/2020,Andaman and Nicobar Islands,75030,0,4108
159,3/15/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,10/19/2020,Andaman and Nicobar Islands,75977,0,4126
160,3/15/2020,6:00 PM,Ladakh,3,0,0,0,3,10/20/2020,Andaman and Nicobar Islands,77200,0,4141
161,3/15/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,10/21/2020,Andaman and Nicobar Islands,78303,0,4168
162,3/15/2020,6:00 PM,Uttarakhand,1,0,0,0,1,10/22/2020,Andaman and Nicobar Islands,79301,0,4184
163,3/16/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,10/23/2020,Andaman and Nicobar Islands,80768,0,4207
164,3/16/2020,6:00 PM,Delhi,7,0,2,1,7,10/24/2020,Andaman and Nicobar Islands,81880,0,4225
165,3/16/2020,6:00 PM,Haryana,0,14,0,0,14,10/25/2020,Andaman and Nicobar Islands,82626,0,4245
166,3/16/2020,6:00 PM,Karnataka,6,0,0,1,6,10/26/2020,Andaman and Nicobar Islands,83115,0,4253
167,3/16/2020,6:00 PM,Kerala,23,0,3,0,23,10/27/2020,Andaman and Nicobar Islands,84308,0,4274
168,3/16/2020,6:00 PM,Maharashtra,32,0,0,0,32,10/28/2020,Andaman and Nicobar Islands,85378,0,4289
169,3/16/2020,6:00 PM,Odisha,1,0,0,0,1,10/29/2020,Andaman and Nicobar Islands,86715,0,4305
170,3/16/2020,6:00 PM,Punjab,1,0,0,0,1,10/30/2020,Andaman and Nicobar Islands,87789,0,4317
171,3/16/2020,6:00 PM,Rajasthan,2,2,3,0,4,10/31/2020,Andaman and Nicobar Islands,88453,0,4332
172,3/16/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,11/1/2020,Andaman and Nicobar Islands,89559,0,4340
173,3/16/2020,6:00 PM,Telengana,3,0,1,0,3,11/2/2020,Andaman and Nicobar Islands,90901,0,4352
174,3/16/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,11/3/2020,Andaman and Nicobar Islands,92249,0,4372
175,3/16/2020,6:00 PM,Ladakh,4,0,0,0,4,11/4/2020,Andaman and Nicobar Islands,93406,0,4389
176,3/16/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,11/5/2020,Andaman and Nicobar Islands,94639,0,4403
177,3/16/2020,6:00 PM,Uttarakhand,1,0,0,0,1,11/6/2020,Andaman and Nicobar Islands,96214,0,4420
178,3/17/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,11/7/2020,Andaman and Nicobar Islands,97603,0,4441
179,3/17/2020,6:00 PM,Delhi,8,0,2,1,8,11/8/2020,Andaman and Nicobar Islands,98812,0,4450
180,3/17/2020,6:00 PM,Haryana,1,14,0,0,15,11/9/2020,Andaman and Nicobar Islands,100025,0,4463
181,3/17/2020,6:00 PM,Karnataka,11,0,0,1,11,11/10/2020,Andaman and Nicobar Islands,101226,0,4477
182,3/17/2020,6:00 PM,Kerala,24,2,3,0,26,11/11/2020,Andaman and Nicobar Islands,102433,0,4494
183,3/17/2020,6:00 PM,Maharashtra,36,3,0,1,39,11/12/2020,Andaman and Nicobar Islands,103599,0,4507
184,3/17/2020,6:00 PM,Odisha,1,0,0,0,1,11/13/2020,Andaman and Nicobar Islands,104785,0,4518
185,3/17/2020,6:00 PM,Punjab,1,0,0,0,1,11/14/2020,Andaman and Nicobar Islands,105699,0,4527
186,3/17/2020,6:00 PM,Rajasthan,2,2,3,0,4,11/15/2020,Andaman and Nicobar Islands,106734,0,4536
